,created_at,content,media,source_link,high_resolution_thumbnail_url,comments,likes,shares
0,1609088707,Time to shape up for 2021,"MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/12/Social-media-image-sizes_1080x1080.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6749007203010674688,"MEDIA_PHOTO - 
",27,686,90
1,1609759502,Level up your Reels content 🔥,"MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/08/instagram-reels.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6751820720403161088,"MEDIA_PHOTO - 
",3,59,5
2,1608999605,"If you've been following our tweets this week, you've seen our holiday dog videos. Now it's time to meet the stars! https://lnkd.in/dM3ktmV ","MEDIA_PHOTO - https://i.ytimg.com/vi/G0zo_uoYnKs/maxresdefault.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6748633480533426176,"MEDIA_PHOTO - 
",0,19,2
3,1608829352,"‘Twas the night before Christmas, 
And all through the house, 
Not a creature was stirring… 
Except for your marketing friend who is on their fourth coffee still trying to figure out what this year’s holiday campaign should be. http://ow.ly/E6Di50CTOaV ","MEDIA_PHOTO - https://i.ytimg.com/vi/lo3o80k_LXA/maxresdefault.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6747919389430972416,"MEDIA_PHOTO - 
",1,11,1
4,1608819905,Let these pups brighten up your timeline. Happy Holidays. http://ow.ly/SEvQ50CTOds ,"MEDIA_PHOTO - https://i.ytimg.com/vi/upJlSRLcP_A/default.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6747879763181891584,"MEDIA_PHOTO - 
",0,7,0
5,1609951207,Go beyond cute product pics in 2021 and turn Instagram into a brand cultivating machine 🙌 ,"MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/02/instagram-engagement.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6752624788000268289,"MEDIA_PHOTO - 
",4,75,18
6,1609866127,Make 2021 the year you listen more than you talk. ,"MEDIA_PHOTO - https://d2jhuj1whasmze.cloudfront.net/photos/original/NAPTt.png
",https://www.linkedin.com/feed/update/urn:li:activity:6752267936498495488,"MEDIA_PHOTO - 
",0,15,0
7,1609859411,Turn your Instagram strategy up to 11 this year. ,"MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/12/instagram-guides.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6752239767565410305,"MEDIA_PHOTO - 
",3,92,12
8,1609777507,Stay ahead of your competitors this year. Check out our #SocialTrends2021 report to keep one step ahead.,"MEDIA_PHOTO - https://d2jhuj1whasmze.cloudfront.net/photos/original/NAKCa.png
",https://www.linkedin.com/feed/update/urn:li:activity:6751896238410485760,"MEDIA_PHOTO - 
",3,14,8
9,1609747259,"Bereit, im neuen Jahr den inneren Funken Ihrer Marke zu entzünden? Es ist an der Zeit, Worten Taten folgen zu lassen, und das fängt ganz oben an. ✨

Lesen Sie unseren Report #SocialTrends2021, um zu erfahren, wie Sie mit dem Aufbau eines wirklich sinnorientierten Unternehmens beginnen: http://ow.ly/pOlt50CEyVc","MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4E22AQFz7mQIyUsqQg/feedshare-shrink_1280-alternative/0/1609747259986?e=1612396800&v=beta&t=GEGPV0sb7tOkC6tTmb9ASN_d_L8ZDFzVyR2QKS1xNGs
",https://www.linkedin.com/feed/update/urn:li:activity:6751769371967832064,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4E22AQFz7mQIyUsqQg/feedshare-shrink_1280-alternative/0/1609747259986?e=1639008000&v=beta&t=tEIVG_T0yzLh4xrl0epSawDYmBeVThi_LtoUMX7huLo
",0,1,0
10,1609348212,"We asked our crystal ball some questions about 2021 🔮

Find the answers here. #SocialTrends2021","MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEzkO5vXixs9Q/feedshare-shrink_1280-alternative/0/1609348212288?e=1612396800&v=beta&t=A69wkNfZyFAmLPVnvBG36ALWxM-D7DrVellZckWx8Hc
",https://www.linkedin.com/feed/update/urn:li:activity:6750095644880322560,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEzkO5vXixs9Q/feedshare-shrink_1280-alternative/0/1609348212288?e=1639008000&v=beta&t=ovVYWW4FunD6nueXmnxB4qQGE5ZehO7-y7szlfqCtBw
",2,57,11
11,1609260313,"In 2021, here are the most effective ways to:

1. Boost traffic
2. Get leads
3. Attract new customers http://ow.ly/T1cZ50CTQGK","MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQHLF3HArHEu7g/feedshare-shrink_1280-alternative/0/1609260313785?e=1612396800&v=beta&t=dSv9Xal2_BdP_Tcg418ErpD_Xluz-7GGmlML9L0_53I
",https://www.linkedin.com/feed/update/urn:li:activity:6749726970960986112,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQHLF3HArHEu7g/feedshare-shrink_1280-alternative/0/1609260313785?e=1639008000&v=beta&t=Yiosva2ZuokDkpoZn3ry02Q4VRAuyTj30svT1f7GqMU
",1,135,3
12,1609171808,WTF 🤔,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQGMhB3R2qtWLQ/feedshare-shrink_1280-alternative/0/1609171808850?e=1611792000&v=beta&t=jwDU2jKvIigXCHrtFiND98cRaec8v_1zQsAp7mB_fnk
",https://www.linkedin.com/feed/update/urn:li:activity:6749355755234705408,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQGMhB3R2qtWLQ/feedshare-shrink_1280-alternative/0/1609171808850?e=1639008000&v=beta&t=Ezfo0aPhl9gFj4RKL-iGnYXphzG5NNOSbsgob48qzOs
",1,39,1
13,1609875306,"Social marketers—it's 2021. Are you still tracking the wrong social metrics?!

In episode 4 of #AskAnExpert, we'll be sitting with Ashley Reid, Senior Business Value Analyst at Hootsuite, to find out what social metrics to track and why they matter to your organization 👊💰

Ask Ashley questions below! Video coming soon...⏰","MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C5622AQFTjgJI_qRDzg/feedshare-shrink_1280-alternative/0/1609875304594?e=1613001600&v=beta&t=267wWSTxHbhDX_S2Y7GWNcuYuZP5aI91bSvMzFke2ww
",https://www.linkedin.com/feed/update/urn:li:activity:6752306436811964416,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C5622AQFTjgJI_qRDzg/feedshare-shrink_1280-alternative/0/1609875304594?e=1639008000&v=beta&t=hmuXQWuo0YkebhspTjkjnNT7n6RcvgsYiQlrUmmU_9Q
",0,74,1
14,1609799982,"Our #SocialTrends2021 will light the way 💡
 
Grab your copy: http://ow.ly/iJIB50CZST7  ","MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEqmsIOy7nQNg/feedshare-shrink_800-alternative/0/1609799981551?e=1612396800&v=beta&t=nzLNwKIO_ieXdJNM5g22-dU51mTVh1g45JkIwPpDnvo
",https://www.linkedin.com/feed/update/urn:li:activity:6751990506508587008,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEqmsIOy7nQNg/feedshare-shrink_800-alternative/0/1609799981551?e=1639008000&v=beta&t=iTQHBvDpWxvOngnQMvVk9RaDHNBCQoQHtdWVKRb6qWQ
",15,633,123
15,1609941720,"📣  BIG NEWS 📣

We are excited to announce the acquisition of Sparkcentral, an expert in social customer care. 

Here's what you need to know about the acquisition: http://ow.ly/V2ji50D10Bo
 
🚀   The core of Sparkcentral is an automated message distribution platform, complete with virtual agent functionality for a highly efficient customer care workflow

📲 Merging Sparkcentral’s platform with Hootsuite will bring together social media marketing and customer service in one platform

💬  This includes messaging channels like Instagram, Facebook Messenger, Twitter, WhatsApp, WeChat, SMS, and Chat


Our CEO Tom Keiser, and our new VP of Sales, Christoph Neut, former CEO, Sparkcentral, now VP, Sales at Hootsuite will go live on LinkedIn at 8 am PST tomorrow to speak about the announcement. 
 
Don’t miss it!","MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEGhSo-dx5goA/feedshare-shrink_1280-alternative/0/1609941720901?e=1613001600&v=beta&t=RzliH0Hbkz3tRscwQJICPSKRINb0V1GOgIBB3cPOeF0
",https://www.linkedin.com/feed/update/urn:li:activity:6752584998513086464,"MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEGhSo-dx5goA/feedshare-shrink_1280-alternative/0/1609941720901?e=1639008000&v=beta&t=YBL-VN8pYZlBwCN0ER7SBr_NWqYic0Pvq9OpsrTrkDk
",14,289,34
16,1610740893,A lot more than just a jobs board 👍,"MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/03/linkedin-statistics.jpg
",https://www.linkedin.com/feed/update/urn:li:activity:6755936974734946304,"MEDIA_PHOTO - 
",2,34,5
