;created_at;content;media;source_link;comments;likes;shares
0;1609088707;Time to shape up for 2021;MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/12/Social-media-image-sizes_1080x1080.jpg;https://www.linkedin.com/feed/update/urn:li:activity:6749007203010674688;27;686;90
1;1609759502;Level up your Reels content 🔥;MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/08/instagram-reels.jpg;https://www.linkedin.com/feed/update/urn:li:activity:6751820720403161088;3;59;5
2;1608999605;If you've been following our tweets this week, you've seen our holiday dog videos. Now it's time to meet the stars! https://lnkd.in/dM3ktmV;MEDIA_PHOTO - https://i.ytimg.com/vi/G0zo_uoYnKs/maxresdefault.jpg;https://www.linkedin.com/feed/update/urn:li:activity:6748633480533426176;0;19;2
3;1608829352;"‘Twas the night before Christmas, 
And all through the house, 
Not a creature was stirring… 
Except for your marketing friend who is on their fourth coffee still trying to figure out what this year’s holiday campaign should be. http://ow.ly/E6Di50CTOaV";MEDIA_PHOTO - https://i.ytimg.com/vi/lo3o80k_LXA/maxresdefault.jpg;https://www.linkedin.com/feed/update/urn:li:activity:6747919389430972416;1;11;1
4;1608819905;Let these pups brighten up your timeline. Happy Holidays. http://ow.ly/SEvQ50CTOds;"MEDIA_PHOTO - https://i.ytimg.com/vi/upJlSRLcP_A/default.jpg
";https://www.linkedin.com/feed/update/urn:li:activity:6747879763181891584;0;7;0
5;1609951207;Go beyond cute product pics in 2021 and turn Instagram into a brand cultivating machine 🙌;MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/02/instagram-engagement.jpg;https://www.linkedin.com/feed/update/urn:li:activity:6752624788000268289;4;75;18
6;1609866127;Make 2021 the year you listen more than you talk.;MEDIA_PHOTO - https://d2jhuj1whasmze.cloudfront.net/photos/original/NAPTt.png;https://www.linkedin.com/feed/update/urn:li:activity:6752267936498495488;0;15;0
7;1609859411;Turn your Instagram strategy up to 11 this year.;MEDIA_PHOTO - https://mk0hootsuiteblof6bud.kinstacdn.com/wp-content/uploads/2020/12/instagram-guides.jpg;https://www.linkedin.com/feed/update/urn:li:activity:6752239767565410305;3;92;12
8;1609777507;Stay ahead of your competitors this year. Check out our #SocialTrends2021 report to keep one step ahead.;MEDIA_PHOTO - https://d2jhuj1whasmze.cloudfront.net/photos/original/NAKCa.png;https://www.linkedin.com/feed/update/urn:li:activity:6751896238410485760;3;14;8
9;1609941720;"📣  BIG NEWS 📣

We are excited to announce the acquisition of Sparkcentral, an expert in social customer care. 

Here's what you need to know about the acquisition: http://ow.ly/V2ji50D10Bo
 
🚀   The core of Sparkcentral is an automated message distribution platform, complete with virtual agent functionality for a highly efficient customer care workflow

📲 Merging Sparkcentral’s platform with Hootsuite will bring together social media marketing and customer service in one platform

💬  This includes messaging channels like Instagram, Facebook Messenger, Twitter, WhatsApp, WeChat, SMS, and Chat


Our CEO Tom Keiser, and our new VP of Sales, Christoph Neut, former CEO, Sparkcentral, now VP, Sales at Hootsuite will go live on LinkedIn at 8 am PST tomorrow to speak about the announcement. 
 
Don’t miss it!";MEDIA_PHOTO - https://media-exp1.licdn.com/dms/image/C4D22AQEGhSo-dx5goA/feedshare-shrink_1280-alternative/0/1609941720901?e=1613001600&v=beta&t=RzliH0Hbkz3tRscwQJICPSKRINb0V1GOgIBB3cPOeF0;https://www.linkedin.com/feed/update/urn:li:activity:6752584998513086464;14;289;34
