,created_at,content,media,source_link,favorites,retweets,replies
0,1609366403,@TriSalvagni @michaelmina_lab Thanks Jason! This blog post may be helpful: 'What is the Best Time to Post on Twitter in 2020?' 😊 http://ow.ly/7QMT30rqIjh,,https://twitter.com/hootsuite/status/1344406252940619777,1,1,1
1,1609266125,@shinedelight8 Congratulations Abbigail! 👏 https://twitter.com/hootsuite/status/1343985659309133827/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1343985659309133827/photo/1
",https://twitter.com/hootsuite/status/1343985659309133827,1,1,0
2,1609180291,@JonathanMcCall @lowkeylise https://twitter.com/hootsuite/status/1343625645100834823/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1343625645100834823/photo/1
",https://twitter.com/hootsuite/status/1343625645100834823,0,0,0
3,1609181995,If you're not looking for light reading on the latest updates of Facebook. We appreciate that too. Enjoy your time off 👍,,https://twitter.com/hootsuite/status/1343632791100076034,3,0,0
4,1609366500,@TriSalvagni @michaelmina_lab TLDR; it's Thursday 😄  (apparently),,https://twitter.com/hootsuite/status/1344406661251919875,0,0,0
5,1609366311,"@TriSalvagni @michaelmina_lab Thanks Jason! Here's a blog post that may be helpful (""What is the Best Time to Post on Twitter in 2020?""): https://adespresso.com/blog/best-time-to-post-on-twitter/",,https://twitter.com/hootsuite/status/1344405868016787460,0,0,0
6,1609359956,@eTourismSummit You can do it! 😄,,https://twitter.com/hootsuite/status/1344379212183068673,1,0,0
7,1609359973,@bevcoasters We got you 😉,,https://twitter.com/hootsuite/status/1344379284379598848,1,0,0
8,1609781659,@Boxerprenuer Well said 👍 Thanks for sharing!,,https://twitter.com/hootsuite/status/1346147965983985664,1,0,1
9,1609781939,@MostlySuck We'll be sure to tune in 👍,,https://twitter.com/hootsuite/status/1346149136463224832,1,1,0
10,1609799597,@LondonGirlinDC It's an important thing to note! Take care of your people 👏,,https://twitter.com/hootsuite/status/1346223201962045446,1,0,0
